id,title,date,genres,keyword1,keyword2,keyword3,keyword4,keyword5,link,profile
115,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=9&mode=view&idx=93534,
116,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=9&mode=view&idx=93429,
117,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=10&mode=view&idx=93565,
118,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=10&mode=view&idx=93550,
119,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=10&mode=view&idx=93534,
120,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=10&mode=view&idx=93429,
121,중간고사기간 스튜던트플라자 24시간 개방 안내,2023-10-13,공지/행사,중간고사,기간,스튜,던트,플라자,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93610,
122,디자인대학 석좌교수 이코 밀리오레와 밀라노 영디자이너의 글로벌 디자인 특강,2023-10-13,공지/행사,동서대학교,디자인,대학,석좌교수,밀리오레,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93599,
123,[한국대학교육협의회] 2023년 대학생 취업인식도 설문조사 (~10/27),2023-10-10,공지/행사,한국,대학교육,협의,국경,제인,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93553,
124,총학생회 천원의 아침 행사,2023-10-06,공지/행사,총학생회,천원,아침,행사,기간,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93539,
125,동서대학교 디자인대학 디지털미디어디자인전공 졸업전시회 [돌파구:EXIT] 개최 안내,2023-10-06,공지/행사,동서대학교,디자인,대학,디지털,미디어,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93537,
126,[민석도서관] 음악감상회 - 라흐마니노프 심포닉 댄스,2023-10-04,공지/행사,음악,감상,회안,주제,라흐마니노프,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93513,
127,[학생생활상담센터]10월 심리검사 실시 안내,2023-09-25,공지/행사,,,,,,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93473,
128,[4~5학년 대상] 2023-2학기 맞춤형 취업지원을 위한 진로 및 취업 준비도 설문 조사 실시 안내,2023-09-22,공지/행사,학생,취업,학년,대상,맞춤,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000191&pg=1&mode=view&idx=93447,
